epoch,image_probabilities_accuracy,image_probabilities_loss,loss,sensor_probabilities_accuracy,sensor_probabilities_loss,stress_probabilities_accuracy,stress_probabilities_loss,stress_probabilities_macro_f1,val_image_probabilities_accuracy,val_image_probabilities_loss,val_loss,val_sensor_probabilities_accuracy,val_sensor_probabilities_loss,val_stress_probabilities_accuracy,val_stress_probabilities_loss,val_stress_probabilities_macro_f1,learning_rate
0,0.5933014154434204,1.002889633178711,1.5744221210479736,0.3612440228462219,1.2425836324691772,0.6016746163368225,0.9361073970794678,0.6005595326423645,0.6581632494926453,0.8575277924537659,1.351035237312317,0.29591837525367737,1.2398507595062256,0.6581632494926453,0.8697010278701782,0.6303116083145142,0.0010000000474974513
1,0.7930622100830078,0.5015941858291626,0.8959769606590271,0.4055023789405823,1.0883724689483643,0.8014354109764099,0.5279786586761475,0.8039693832397461,0.7193877696990967,0.7361151576042175,1.1621229648590088,0.36734694242477417,1.1535736322402954,0.7397959232330322,0.7415140867233276,0.7135943174362183,0.0010000000474974513
2,0.85047847032547,0.3866685926914215,0.7325394153594971,0.42583730816841125,1.0572412014007568,0.8528708219528198,0.43205174803733826,0.8534075617790222,0.7653061151504517,0.7229019999504089,1.0842190980911255,0.4948979616165161,1.041059136390686,0.7602040767669678,0.6846435070037842,0.7308235764503479,0.0010000000474974513
3,0.8708133697509766,0.3022691309452057,0.6144500970840454,0.5119616985321045,1.0193350315093994,0.8779904246330261,0.3612690567970276,0.877732515335083,0.7806122303009033,0.4991951584815979,0.8547428846359253,0.5408163070678711,0.9545451402664185,0.795918345451355,0.51667720079422,0.7703558206558228,0.0010000000474974513
4,0.9007176756858826,0.25308898091316223,0.5363702178001404,0.5442583560943604,0.9601500034332275,0.9007176756858826,0.31015780568122864,0.901986837387085,0.8265306353569031,0.43756672739982605,0.7812185287475586,0.44897958636283875,1.0372554063796997,0.8418367505073547,0.4581098258495331,0.8032244443893433,0.0010000000474974513
5,0.9138755798339844,0.23986442387104034,0.5169771909713745,0.5071770548820496,0.9885445237159729,0.9258373379707336,0.306566447019577,0.9254820942878723,0.8469387888908386,0.4511006772518158,0.7661589980125427,0.5204081535339355,0.9263020753860474,0.831632673740387,0.45458731055259705,0.8001970052719116,0.0010000000474974513
6,0.9162679314613342,0.208474263548851,0.4777374565601349,0.5358851552009583,0.9517600536346436,0.9222487807273865,0.27533721923828125,0.9213751554489136,0.8214285969734192,0.45905762910842896,0.7599406242370605,0.5408163070678711,0.8758354783058167,0.8367347121238708,0.43726104497909546,0.7988605499267578,0.0010000000474974513
7,0.9545454382896423,0.13117583096027374,0.3701900839805603,0.5215311050415039,0.9202395081520081,0.959330141544342,0.22011373937129974,0.9584318399429321,0.8469387888908386,0.39275282621383667,0.6765124201774597,0.6173469424247742,0.8364376425743103,0.8571428656578064,0.3919053077697754,0.8291904926300049,0.0010000000474974513
8,0.9545454382896423,0.13838525116443634,0.3923531174659729,0.5167464017868042,0.9737001061439514,0.9605262875556946,0.22357560694217682,0.9615077972412109,0.795918345451355,0.6024484038352966,0.8781026005744934,0.6173469424247742,0.808953046798706,0.8061224222183228,0.5093751549720764,0.7796993255615234,0.0010000000474974513
9,0.9449760913848877,0.1493896096944809,0.3732050955295563,0.5239234566688538,0.9201585054397583,0.9557416439056396,0.22770284116268158,0.9561936855316162,0.8775510191917419,0.3752855658531189,0.6673082113265991,0.5357142686843872,0.9271558523178101,0.8826530575752258,0.37034279108047485,0.8460081815719604,0.0010000000474974513
10,0.9545454382896423,0.12371427565813065,0.349373459815979,0.5502392053604126,0.8770003914833069,0.9569377899169922,0.2010192573070526,0.9549858570098877,0.8061224222183228,0.4481658935546875,0.7629139423370361,0.5408163070678711,0.8922902345657349,0.8214285969734192,0.42938750982284546,0.7797258496284485,0.0010000000474974513
11,0.959330141544342,0.12290353327989578,0.34545624256134033,0.5813397169113159,0.8923614025115967,0.9641148447990417,0.19625432789325714,0.9624073505401611,0.8622449040412903,0.4037777781486511,0.6967106461524963,0.581632673740387,0.8826296925544739,0.8724489808082581,0.38699156045913696,0.8349535465240479,0.0010000000474974513
12,0.9724880456924438,0.07694743573665619,0.28567835688591003,0.5430622100830078,0.8638489246368408,0.9760765433311462,0.16490060091018677,0.9764224290847778,0.8265306353569031,0.3737439513206482,0.6684910655021667,0.581632673740387,0.8477575778961182,0.8469387888908386,0.3706009089946747,0.7909630537033081,0.0005000000237487257
13,0.9748803973197937,0.07216084748506546,0.2813115417957306,0.5657894611358643,0.8663581013679504,0.9772727489471436,0.15881870687007904,0.9777902364730835,0.8265306353569031,0.498443603515625,0.8008614182472229,0.5408163070678711,0.9571255445480347,0.8214285969734192,0.4515310525894165,0.7814764380455017,0.0005000000237487257
